"","parent_key","gene_name"
"1","DB00171","AKT1"
"2","DB00171","APAF1"
"3","DB00171","PIK3CA"
"4","DB00201","PIK3CD"
"5","DB00201","PIK3CA"
"6","DB00201","PIK3CB"
"7","DB00210","TLR2"
"8","DB00233","CHUK"
"9","DB00244","CHUK"
"10","DB00244","IKBKB"
"11","DB00282","CASP3"
"12","DB00282","CASP9"
"13","DB00337","MTOR"
"14","DB00451","ITGB3"
"15","DB00608","TNF"
"16","DB00608","TLR9"
"17","DB00668","TNF"
"18","DB00775","ITGB3"
"19","DB00795","CHUK"
"20","DB00795","IKBKB"
"21","DB00843","IL1B"
"22","DB00852","TNF"
"23","DB00852","NFKB1"
"24","DB00877","MTOR"
"25","DB00945","TP53"
"26","DB00945","NFKBIA"
"27","DB00945","CASP3"
"28","DB00945","IKBKB"
"29","DB00995","IKBKB"
"30","DB01017","IL1B"
"31","DB01017","CASP3"
"32","DB01017","CYCS"
"33","DB01041","TNF"
"34","DB01041","NFKB1"
"35","DB01050","BCL2"
"36","DB01055","CCL2"
"37","DB01064","PIK3R1"
"38","DB01064","PIK3R2"
"39","DB01064","PIK3R3"
"40","DB01065","CALR"
"41","DB01169","IKBKB"
"42","DB01169","AKT1"
"43","DB01169","PML"
"44","DB01229","BCL2"
"45","DB01248","BCL2"
"46","DB01250","IFNG"
"47","DB01254","SRC"
"48","DB01296","TNF"
"49","DB01296","IFNG"
"50","DB01367","BCL2"
"51","DB01406","CCL2"
"52","DB01407","TNF"
"53","DB01411","TNF"
"54","DB01411","NFKB1"
"55","DB01427","TNF"
"56","DB01590","MTOR"
"57","DB01593","PDIA3"
"58","DB01593","TP53"
"59","DB01593","C3"
"60","DB01593","C5"
"61","DB01611","TLR9"
"62","DB01645","AKT1"
"63","DB01678","SRC"
"64","DB01863","AKT1"
"65","DB01866","SRC"
"66","DB01893","SRC"
"67","DB01908","SRC"
"68","DB01915","C3"
"69","DB01947","SRC"
"70","DB01962","SRC"
"71","DB02010","SYK"
"72","DB02110","CYCS"
"73","DB02147","C3"
"74","DB02169","PPP1CC"
"75","DB02175","SRC"
"76","DB02322","CCL5"
"77","DB02336","SRC"
"78","DB02353","CCL5"
"79","DB02375","JAK1"
"80","DB02379","IFNB1"
"81","DB02432","SRC"
"82","DB02506","PPP1CA"
"83","DB02709","ITGA5"
"84","DB02709","ITGB3"
"85","DB02709","AKT1"
"86","DB02740","B2M"
"87","DB02762","SRC"
"88","DB02763","IL12B"
"89","DB02779","PTPN11"
"90","DB02860","PPP1CC"
"91","DB02908","SRC"
"92","DB02987","OAS1"
"93","DB03023","SRC"
"94","DB03078","SRC"
"95","DB03104","SRC"
"96","DB03114","SRC"
"97","DB03124","CASP3"
"98","DB03217","SRC"
"99","DB03268","SRC"
"100","DB03298","SRC"
"101","DB03306","SRC"
"102","DB03317","CYCS"
"103","DB03347","TP53"
"104","DB03366","CYCS"
"105","DB03507","TNFRSF1A"
"106","DB03525","SRC"
"107","DB03591","SRC"
"108","DB03628","SRC"
"109","DB03712","SRC"
"110","DB03828","SRC"
"111","DB03902","SRC"
"112","DB03934","CYCS"
"113","DB03963","TLR2"
"114","DB03977","CYCS"
"115","DB04080","SRC"
"116","DB04137","RHEB"
"117","DB04249","CYCS"
"118","DB04272","SRC"
"119","DB04315","RHEB"
"120","DB04464","B2M"
"121","DB04464","HLA-B"
"122","DB04495","SRC"
"123","DB04716","JAK2"
"124","DB04716","JAK1"
"125","DB04716","TYK2"
"126","DB04738","PPP1CC"
"127","DB04739","SRC"
"128","DB04751","SRC"
"129","DB04863","ITGB3"
"130","DB04974","MTOR"
"131","DB04998","IKBKG"
"132","DB05212","NFKB1"
"133","DB05260","IL1B"
