"","V1","V2","edge_type"
"1","DB00795","DB00158",1
"2","DB00564","DB00158",1
"3","DB00213","DB00158",1
"4","DB00448","DB00158",1
"5","DB00921","DB00158",1
"6","DB01234","DB00158",1
"7","DB01254","DB00158",1
"8","DB01645","DB00158",1
"9","DB08864","DB00158",1
"10","DB08881","DB00158",1
"11","DB08901","DB00158",1
"12","DB09061","DB00158",1
"13","DB11581","DB00158",1
"14","DB11633","DB00158",1
"15","DB11817","DB00158",1
"16","DB11995","DB00158",1
"17","DB12010","DB00158",1
"18","DB12026","DB00158",1
"19","DB12070","DB00158",1
"20","DB13874","DB00158",1
"21","DB13879","DB00158",1
"22","DB13952","DB00158",1
"23","DB12500","DB00158",1
"24","DB00201","DB00158",1
"25","DB15822","DB00158",1
"26","DB00655","DB00158",1
"27","DB00845","DB00158",1
"28","DB00244","DB00158",1
"29","DB00282","DB00158",1
"30","DB00328","DB00158",1
"31","DB00456","DB00158",1
"32","DB00461","DB00158",1
"33","DB00482","DB00158",1
"34","DB00586","DB00158",1
"35","DB00742","DB00158",1
"36","DB00749","DB00158",1
"37","DB00814","DB00158",1
"38","DB00864","DB00158",1
"39","DB00923","DB00158",1
"40","DB00945","DB00158",1
"41","DB01050","DB00158",1
"42","DB01250","DB00158",1
"43","DB01329","DB00158",1
"44","DB01331","DB00158",1
"45","DB01399","DB00158",1
"46","DB01424","DB00158",1
"47","DB01600","DB00158",1
"48","DB04743","DB00158",1
"49","DB06736","DB00158",1
"50","DB07402","DB00158",1
"51","DB08991","DB00158",1
"52","DB09213","DB00158",1
"53","DB09216","DB00158",1
"54","DB11466","DB00158",1
"55","DB13286","DB00158",1
"56","DB13470","DB00158",1
"57","DB13499","DB00158",1
"58","DB13638","DB00158",1
"59","DB09212","DB00158",1
"60","DB11512","DB00158",1
"61","DB00182","DB00158",1
"62","DB00296","DB00158",1
"63","DB00312","DB00158",1
"64","DB00319","DB00158",1
"65","DB00323","DB00158",1
"66","DB00327","DB00158",1
"67","DB00333","DB00158",1
"68","DB00341","DB00158",1
"69","DB00415","DB00158",1
"70","DB00418","DB00158",1
"71","DB00437","DB00158",1
"72","DB00501","DB00158",1
"73","DB00598","DB00158",1
"74","DB00608","DB00158",1
"75","DB00624","DB00158",1
"76","DB00775","DB00158",1
"77","DB00780","DB00158",1
"78","DB00790","DB00158",1
"79","DB00800","DB00158",1
"80","DB00851","DB00158",1
"81","DB00853","DB00158",1
"82","DB00915","DB00158",1
"83","DB00995","DB00158",1
"84","DB01011","DB00158",1
"85","DB01036","DB00158",1
"86","DB01105","DB00158",1
"87","DB01137","DB00158",1
"88","DB01148","DB00158",1
"89","DB01169","DB00158",1
"90","DB01183","DB00158",1
"91","DB01215","DB00158",1
"92","DB01261","DB00158",1
"93","DB01267","DB00158",1
"94","DB01367","DB00158",1
"95","DB01427","DB00158",1
"96","DB04574","DB00158",1
"97","DB04896","DB00158",1
"98","DB05541","DB00158",1
"99","DB06335","DB00158",1
"100","DB06695","DB00158",1
"101","DB06824","DB00158",1
"102","DB08877","DB00158",1
"103","DB08910","DB00158",1
