#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	CD74	9606.ENSP00000451828	9606.ENSP00000009530	0	0	0	0	0.048	0.062	0	0.420	0.436
AKT1	TNFRSF1A	9606.ENSP00000451828	9606.ENSP00000162749	0	0	0	0	0.062	0.225	0	0.604	0.687
AKT1	TAB1	9606.ENSP00000451828	9606.ENSP00000216160	0	0	0	0	0.097	0.163	0	0.347	0.464
AKT1	NFKBIA	9606.ENSP00000451828	9606.ENSP00000216797	0	0	0	0	0.062	0.330	0	0.768	0.841
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.062	0.516	0.900	0.940	0.996
AKT1	PIK3R2	9606.ENSP00000451828	9606.ENSP00000222254	0	0	0	0	0.085	0.102	0.650	0.744	0.916
AKT1	CCL2	9606.ENSP00000451828	9606.ENSP00000225831	0	0	0	0	0	0	0	0.685	0.685
AKT1	NFKB1	9606.ENSP00000451828	9606.ENSP00000226574	0	0	0	0	0.066	0.176	0.900	0.526	0.958
AKT1	IFNG	9606.ENSP00000451828	9606.ENSP00000229135	0	0	0	0	0	0	0	0.605	0.605
AKT1	TRAF2	9606.ENSP00000451828	9606.ENSP00000247668	0	0	0	0	0.063	0.099	0	0.448	0.493
AKT1	EIF2S1	9606.ENSP00000451828	9606.ENSP00000256383	0	0	0	0	0	0	0	0.628	0.628
AKT1	SRSF1	9606.ENSP00000451828	9606.ENSP00000258962	0	0	0	0	0.060	0.056	0	0.392	0.413
AKT1	TLR2	9606.ENSP00000451828	9606.ENSP00000260010	0	0	0	0	0	0.245	0	0.696	0.761
AKT1	RHEB	9606.ENSP00000451828	9606.ENSP00000262187	0	0	0	0	0.053	0.140	0.900	0.929	0.993
AKT1	PIK3R3	9606.ENSP00000451828	9606.ENSP00000262741	0	0	0	0	0.062	0.102	0.650	0.654	0.884
AKT1	IL1B	9606.ENSP00000451828	9606.ENSP00000263341	0	0	0	0	0	0.056	0	0.774	0.777
AKT1	BIRC3	9606.ENSP00000451828	9606.ENSP00000263464	0	0	0	0	0	0.116	0	0.548	0.583
AKT1	AKT3	9606.ENSP00000451828	9606.ENSP00000263826	0	0	0.445	0.981	0	0.130	0.800	0.808	0.822
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.064	0.880	0.900	0.903	0.998
AKT1	PML	9606.ENSP00000451828	9606.ENSP00000268058	0	0	0	0	0	0.057	0.900	0.654	0.964
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	EIF2B5	9606.ENSP00000451828	9606.ENSP00000273783	0	0	0	0	0.060	0.057	0	0.438	0.459
AKT1	IFNA1	9606.ENSP00000451828	9606.ENSP00000276927	0	0	0	0	0	0	0	0.518	0.518
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000289153	0	0	0	0	0.064	0.395	0.900	0.894	0.993
AKT1	BAX	9606.ENSP00000451828	9606.ENSP00000293288	0	0	0	0	0.061	0.270	0	0.682	0.763
AKT1	ITGA5	9606.ENSP00000451828	9606.ENSP00000293379	0	0	0	0	0.063	0.075	0	0.469	0.499
AKT1	TLR3	9606.ENSP00000451828	9606.ENSP00000296795	0	0	0	0	0	0.168	0	0.470	0.540
AKT1	TSC1	9606.ENSP00000451828	9606.ENSP00000298552	0	0	0	0	0.060	0.715	0.900	0.916	0.997
AKT1	FADD	9606.ENSP00000451828	9606.ENSP00000301838	0	0	0	0	0.073	0.069	0	0.564	0.591
AKT1	BCL2L1	9606.ENSP00000451828	9606.ENSP00000302564	0	0	0	0	0.065	0.270	0.900	0.982	0.998
AKT1	EIF2AK3	9606.ENSP00000451828	9606.ENSP00000307235	0	0	0	0.560	0	0.270	0	0.859	0.543
AKT1	CYCS	9606.ENSP00000451828	9606.ENSP00000307786	0	0	0	0	0	0	0	0.806	0.806
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0	0.475	0	0.882	0.935
AKT1	STAT2	9606.ENSP00000451828	9606.ENSP00000315768	0	0	0	0	0	0.140	0	0.565	0.610
AKT1	CALR	9606.ENSP00000451828	9606.ENSP00000320866	0	0	0	0	0.065	0.056	0	0.467	0.489
AKT1	PPP1CA	9606.ENSP00000451828	9606.ENSP00000326031	0	0	0	0	0.172	0.700	0	0.447	0.851
AKT1	TBK1	9606.ENSP00000451828	9606.ENSP00000329967	0	0	0	0.570	0.047	0.486	0	0.636	0.625
AKT1	CASP9	9606.ENSP00000451828	9606.ENSP00000330237	0	0	0	0	0	0.231	0.900	0.814	0.984
