"","prot"
"1","AKT1"
"2","AKT2"
"3","AKT3"
"4","ALYREF"
"5","APAF1"
"6","B2M"
"7","BAD"
"8","BAK1"
"9","BAX"
"10","BCL2"
"11","BCL2L1"
"12","BID"
"13","BIRC2"
"14","BIRC3"
"15","BST2"
"16","C3"
"17","C5"
"18","CALR"
"19","CARD9"
"20","CASP3"
"21","CASP8"
"22","CASP9"
"23","CCL2"
"24","CCL5"
"25","CD74"
"26","CFP"
"27","CGAS"
"28","CHUK"
"29","CYCS"
"30","DAXX"
"31","DDX58"
"32","EIF2AK1"
"33","EIF2AK2"
"34","EIF2AK3"
"35","EIF2AK4"
"36","EIF2B1"
"37","EIF2B2"
"38","EIF2B3"
"39","EIF2B4"
"40","EIF2B5"
"41","EIF2S1"
"42","EIF4EBP1"
"43","FADD"
"44","FAS"
"45","FASLG"
"46","HCFC1"
"47","HCFC2"
"48","HLA-A"
"49","HLA-B"
"50","HLA-C"
"51","HLA-DMA"
"52","HLA-DMB"
"53","HLA-DOA"
"54","HLA-DOB"
"55","HLA-DPA1"
"56","HLA-DPB1"
"57","HLA-DQA1"
"58","HLA-DQA2"
"59","HLA-DQB1"
"60","HLA-DRA"
"61","HLA-DRB1"
"62","HLA-DRB3"
"63","HLA-DRB4"
"64","HLA-DRB5"
"65","HLA-E"
"66","HLA-F"
"67","HLA-G"
"68","IFIH1"
"69","IFNA1"
"70","IFNA10"
"71","IFNA13"
"72","IFNA14"
"73","IFNA16"
"74","IFNA17"
"75","IFNA2"
"76","IFNA21"
"77","IFNA4"
"78","IFNA5"
"79","IFNA6"
"80","IFNA7"
"81","IFNA8"
"82","IFNAR1"
"83","IFNAR2"
"84","IFNB1"
"85","IFNG"
"86","IFNGR1"
"87","IFNGR2"
"88","IKBKB"
"89","IKBKE"
"90","IKBKG"
"91","IL12A"
"92","IL12B"
"93","IL1B"
"94","IL6"
"95","IRAK1"
"96","IRAK4"
"97","IRF3"
"98","IRF7"
"99","IRF9"
"100","ITGA5"
"101","ITGB3"
"102","JAK1"
"103","JAK2"
"104","LTA"
"105","MAP3K7"
"106","MAVS"
"107","MTOR"
"108","MYD88"
"109","NECTIN1"
"110","NECTIN2"
"111","NFKB1"
"112","NFKBIA"
"113","NXF1"
"114","NXF2"
"115","NXF2B"
"116","NXF3"
"117","OAS1"
"118","OAS2"
"119","OAS3"
"120","PDIA3"
"121","PIK3CA"
"122","PIK3CB"
"123","PIK3CD"
"124","PIK3R1"
"125","PIK3R2"
"126","PIK3R3"
"127","PILRA"
"128","PILRB"
"129","PML"
"130","POU2F1"
"131","POU2F2"
"132","POU2F3"
"133","PPP1CA"
"134","PPP1CB"
"135","PPP1CC"
"136","PTPN11"
"137","RBAK"
"138","RELA"
"139","RHEB"
"140","RNASEL"
"141","SOCS3"
"142","SP100"
"143","SRC"
"144","SRPK1"
"145","SRSF1"
"146","SRSF2"
"147","SRSF3"
"148","SRSF4"
"149","SRSF5"
"150","SRSF6"
"151","SRSF7"
"152","SRSF8"
"153","SRSF9"
"154","STAT1"
"155","STAT2"
"156","STING1"
"157","SYK"
"158","TAB1"
"159","TAB2"
"160","TAP1"
"161","TAP2"
"162","TAPBP"
"163","TBK1"
"164","TICAM1"
"165","TLR2"
"166","TLR3"
"167","TLR9"
"168","TNF"
"169","TNFRSF14"
"170","TNFRSF1A"
"171","TNFSF14"
"172","TP53"
"173","TRADD"
"174","TRAF2"
"175","TRAF3"
"176","TRAF5"
"177","TRAF6"
"178","TSC1"
"179","TSC2"
"180","TYK2"
"181","ZFP1"
"182","ZFP14"
"183","ZFP28"
"184","ZFP30"
"185","ZFP37"
"186","ZFP57"
"187","ZFP69"
"188","ZFP69B"
"189","ZFP82"
"190","ZFP90"
"191","ZFP92"
"192","ZIK1"
"193","ZIM3"
"194","ZNF10"
"195","ZNF100"
"196","ZNF101"
"197","ZNF107"
"198","ZNF112"
"199","ZNF114"
"200","ZNF12"
"201","ZNF124"
"202","ZNF132"
"203","ZNF133"
"204","ZNF135"
"205","ZNF136"
"206","ZNF14"
"207","ZNF140"
"208","ZNF141"
"209","ZNF154"
"210","ZNF155"
"211","ZNF157"
"212","ZNF160"
"213","ZNF169"
"214","ZNF17"
"215","ZNF175"
"216","ZNF177"
"217","ZNF180"
"218","ZNF181"
"219","ZNF182"
"220","ZNF184"
"221","ZNF189"
"222","ZNF19"
"223","ZNF195"
"224","ZNF2"
"225","ZNF20"
"226","ZNF200"
"227","ZNF205"
"228","ZNF208"
"229","ZNF211"
"230","ZNF212"
"231","ZNF214"
"232","ZNF221"
"233","ZNF222"
"234","ZNF223"
"235","ZNF224"
"236","ZNF225"
"237","ZNF226"
"238","ZNF227"
"239","ZNF229"
"240","ZNF23"
"241","ZNF230"
"242","ZNF233"
"243","ZNF234"
"244","ZNF235"
"245","ZNF248"
"246","ZNF25"
"247","ZNF250"
"248","ZNF251"
"249","ZNF253"
"250","ZNF254"
"251","ZNF256"
"252","ZNF257"
"253","ZNF26"
"254","ZNF267"
"255","ZNF268"
"256","ZNF273"
"257","ZNF275"
"258","ZNF282"
"259","ZNF283"
"260","ZNF284"
"261","ZNF285"
"262","ZNF286A"
"263","ZNF3"
"264","ZNF30"
"265","ZNF300"
"266","ZNF302"
"267","ZNF304"
"268","ZNF311"
"269","ZNF316"
"270","ZNF317"
"271","ZNF320"
"272","ZNF324"
"273","ZNF324B"
"274","ZNF331"
"275","ZNF333"
"276","ZNF334"
"277","ZNF337"
"278","ZNF33A"
"279","ZNF33B"
"280","ZNF34"
"281","ZNF343"
"282","ZNF347"
"283","ZNF350"
"284","ZNF354A"
"285","ZNF354B"
"286","ZNF354C"
"287","ZNF37A"
"288","ZNF382"
"289","ZNF383"
"290","ZNF398"
"291","ZNF404"
"292","ZNF41"
"293","ZNF415"
"294","ZNF416"
"295","ZNF417"
"296","ZNF418"
"297","ZNF419"
"298","ZNF420"
"299","ZNF425"
"300","ZNF426"
"301","ZNF429"
"302","ZNF43"
"303","ZNF430"
"304","ZNF431"
"305","ZNF432"
"306","ZNF433"
"307","ZNF436"
"308","ZNF439"
"309","ZNF44"
"310","ZNF440"
"311","ZNF441"
"312","ZNF442"
"313","ZNF443"
"314","ZNF45"
"315","ZNF454"
"316","ZNF460"
"317","ZNF461"
"318","ZNF468"
"319","ZNF470"
"320","ZNF471"
"321","ZNF473"
"322","ZNF479"
"323","ZNF480"
"324","ZNF484"
"325","ZNF486"
"326","ZNF490"
"327","ZNF492"
"328","ZNF506"
"329","ZNF510"
"330","ZNF514"
"331","ZNF517"
"332","ZNF519"
"333","ZNF527"
"334","ZNF528"
"335","ZNF529"
"336","ZNF530"
"337","ZNF534"
"338","ZNF540"
"339","ZNF543"
"340","ZNF544"
"341","ZNF546"
"342","ZNF547"
"343","ZNF548"
"344","ZNF549"
"345","ZNF550"
"346","ZNF551"
"347","ZNF552"
"348","ZNF554"
"349","ZNF555"
"350","ZNF556"
"351","ZNF557"
"352","ZNF558"
"353","ZNF559"
"354","ZNF559-ZNF177"
"355","ZNF560"
"356","ZNF561"
"357","ZNF562"
"358","ZNF563"
"359","ZNF564"
"360","ZNF565"
"361","ZNF566"
"362","ZNF567"
"363","ZNF568"
"364","ZNF569"
"365","ZNF57"
"366","ZNF570"
"367","ZNF571"
"368","ZNF573"
"369","ZNF577"
"370","ZNF578"
"371","ZNF582"
"372","ZNF583"
"373","ZNF584"
"374","ZNF585A"
"375","ZNF585B"
"376","ZNF587"
"377","ZNF589"
"378","ZNF595"
"379","ZNF596"
"380","ZNF597"
"381","ZNF599"
"382","ZNF600"
"383","ZNF605"
"384","ZNF606"
"385","ZNF607"
"386","ZNF610"
"387","ZNF611"
"388","ZNF613"
"389","ZNF614"
"390","ZNF615"
"391","ZNF616"
"392","ZNF619"
"393","ZNF620"
"394","ZNF621"
"395","ZNF623"
"396","ZNF624"
"397","ZNF627"
"398","ZNF630"
"399","ZNF641"
"400","ZNF649"
"401","ZNF658"
"402","ZNF662"
"403","ZNF665"
"404","ZNF667"
"405","ZNF669"
"406","ZNF670"
"407","ZNF671"
"408","ZNF674"
"409","ZNF675"
"410","ZNF676"
"411","ZNF677"
"412","ZNF679"
"413","ZNF680"
"414","ZNF682"
"415","ZNF684"
"416","ZNF688"
"417","ZNF689"
"418","ZNF699"
"419","ZNF7"
"420","ZNF700"
"421","ZNF701"
"422","ZNF705A"
"423","ZNF705D"
"424","ZNF707"
"425","ZNF708"
"426","ZNF709"
"427","ZNF713"
"428","ZNF714"
"429","ZNF716"
"430","ZNF717"
"431","ZNF718"
"432","ZNF721"
"433","ZNF726"
"434","ZNF727"
"435","ZNF729"
"436","ZNF730"
"437","ZNF735"
"438","ZNF736"
"439","ZNF737"
"440","ZNF74"
"441","ZNF746"
"442","ZNF749"
"443","ZNF761"
"444","ZNF763"
"445","ZNF764"
"446","ZNF765"
"447","ZNF766"
"448","ZNF768"
"449","ZNF77"
"450","ZNF772"
"451","ZNF773"
"452","ZNF777"
"453","ZNF778"
"454","ZNF780A"
"455","ZNF780B"
"456","ZNF782"
"457","ZNF783"
"458","ZNF785"
"459","ZNF786"
"460","ZNF79"
"461","ZNF790"
"462","ZNF791"
"463","ZNF792"
"464","ZNF793"
"465","ZNF799"
"466","ZNF8"
"467","ZNF805"
"468","ZNF808"
"469","ZNF81"
"470","ZNF813"
"471","ZNF814"
"472","ZNF816"
"473","ZNF823"
"474","ZNF829"
"475","ZNF83"
"476","ZNF836"
"477","ZNF84"
"478","ZNF841"
"479","ZNF845"
"480","ZNF846"
"481","ZNF85"
"482","ZNF850"
"483","ZNF853"
"484","ZNF860"
"485","ZNF875"
"486","ZNF878"
