"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100287827",-1.50356361426113,5.16911246872174,-12.3077754904344,4.93067419665408e-08,0.000618084663921572,9.06839890794598
"LOC727916",-1.10918587497409,3.45455672080992,-11.7509027195514,8.14941568078535e-08,0.000681046668443232,8.56891389968078
"HIST1H2BH",3.53550717630798,-4.24805354831772,13.9381204909898,1.2597283729812e-08,0.000315826500390117,8.02630785884744
"LOC100127953",-1.52064824923749,5.02667442056229,-10.8755781575339,1.873590701421e-07,0.000939455849506519,7.72777211749634
"C14orf149",-4.11342218698216,-0.531570006584686,-11.0146018666994,1.63549590414902e-07,0.000939455849506519,7.43105260039737
"LOC100289491",-1.23499245288392,6.52280787025599,-10.0250530294483,4.44656969986917e-07,0.00162957247441147,6.76075389013885
"ZFC3H1",-2.16659614846693,1.12418168957442,-9.70263063541711,6.26775823738676e-07,0.00177701607414071,6.5470031030997
"PLCL1",3.75163977400939,-4.12719535710875,10.0032153017865,4.54988126555793e-07,0.00162957247441147,5.90544172438399
"LOC100286968",1.6735762253414,3.43812579253175,9.0691701767124,1.26429560438998e-06,0.0024382426998201,5.88297745417843
"LOC100287206",1.89846099329263,2.81719974754224,8.81378909027472,1.69587045550881e-06,0.00283447787933743,5.59477428360919
"LOC100287574",-1.44506241002096,1.77560228740015,-8.71192556607537,1.91008486760387e-06,0.00299298360723105,5.47975664425726
"C19orf41",-1.90078987940993,-6.73258694770131,-9.68631328461813,6.37914110616506e-07,0.00177701607414071,5.34007296810501
"APOL3",3.98632525884337,-3.46849491903757,9.07585706656399,1.25471841197869e-06,0.0024382426998201,5.24069354083045
"PCDHA7",-1.90409412887607,-6.73258694770131,-9.5076555956123,7.74815396870638e-07,0.00194253968149438,5.21007047502444
"PTGER2",1.51038087925787,-6.78171798731239,9.29093866773365,9.84733868682394e-07,0.00224438752924875,5.17477322371274
"PTTG1",4.011705151883,-4.59755456263822,8.82612747423875,1.67172976834375e-06,0.00283447787933743,5.02859388721245
"C10orf55",3.19415662709142,2.99267470402604,8.11058537499351,3.94071019929649e-06,0.00493987727032811,4.77518196809217
"LOC100289049",-1.66465227597199,0.919591324919248,-7.9949163857446,4.55006560111893e-06,0.00509108869633091,4.63544670231248
"HIST1H1E",1.83735141026713,3.61030032241351,7.95482979014136,4.78420214582364e-06,0.00509108869633091,4.55496583128384
"LOC100129101",-1.23244079985011,3.28154154942244,-7.94007506103609,4.87360411279733e-06,0.00509108869633091,4.50676096744382
"C1orf74",-2.91305189739413,-6.11340612239801,-8.5303290521648,2.36749889003246e-06,0.00349150380423551,4.43061138727755
"LOC100130262",-0.799661394588286,3.89711818894883,-7.86876288883954,5.33166961302879e-06,0.0053468115547298,4.39948588957022
"LOC100128598",-1.77112373020943,2.4351757022606,-7.76883868791661,6.05275056171688e-06,0.00583648112818477,4.32753518772735
"LOC100288791",0.866662074926669,9.07456460459138,8.12330161963043,3.87926101044353e-06,0.00493987727032811,4.29048132089209
"ACOT4",-1.9186596642932,-6.10347284489216,-8.3521011604749,2.93257209110205e-06,0.00408458416088997,4.27873110919274
"SLC5A10",-0.757080608866195,3.34368047976673,-7.70411593294985,6.57509261842902e-06,0.00610021213345715,4.20808809364582
"NDE1",-1.90369703234527,-0.5677921854604,-7.53800745889851,8.14960788707996e-06,0.00659092965603167,4.05538430191876
"LOC100287815",-3.3798956422025,-2.63379920380664,-7.6764528319761,6.8128889847553e-06,0.00610021213345715,3.95166236419246
"PCNA",4.12943193115648,-3.03533822356913,7.61596745772604,7.36551537060397e-06,0.00636761502953146,3.84277410373682
"LOC100289609",2.36633342027,8.31569158422128,7.54048076850544,8.12340496236976e-06,0.00659092965603167,3.7067698780792
"TRPC6",-5.17653710308124,-5.02876522975097,-7.31916104249597,1.08680366773865e-05,0.00825674386481081,3.55610754970356
"MMP19",1.39942143359078,0.683323244667312,7.10399188467755,1.45057284090013e-05,0.010696268145355,3.50942394417887
"ZNF543",3.49444100953998,-4.61736112817754,7.36929368253769,1.01693093541116e-05,0.00796733608802909,3.47757312043369
"MMP1",2.33860133496573,3.12174513971953,7.02429909834522,1.61664796787045e-05,0.0115638091584544,3.37550275116952
"HIST1H1B",2.8880167756713,2.30176684654545,6.97587789806022,1.72738317384412e-05,0.0117046550139043,3.3240076695176
"LOC283392",1.2520303694067,2.42414440557355,6.91961518921803,1.86631114697493e-05,0.0123132333594233,3.23192135588304
"LOC100287269",1.71950382568038,1.72835877810091,6.83844971820481,2.08813756188518e-05,0.0130124924639173,3.15509351778929
"LOC100132934",-2.3830299743486,0.0703968749534575,-6.82484161821783,2.12800522923142e-05,0.0130124924639173,3.1369719581342
"STX11",-3.14793218756228,-4.86663749380845,-7.00472440271247,1.66047277613321e-05,0.0115638091584544,2.99606625414934
"HIST1H3G",3.59305570082146,-0.871239451823095,6.87966536893221,1.97217450135488e-05,0.0126780479290944,2.98829513923501
"THRA",1.7490674128334,1.94847469582999,6.58428326617253,2.98467375192694e-05,0.0168159358430246,2.79062693472678
"NUSAP1",4.35998267580126,-3.20002579106277,6.64349533663025,2.74427011651307e-05,0.0163813324026427,2.78103491101632
"HIST1H1D",2.55591300098854,-0.051344994826596,6.57640908332087,3.01829648971365e-05,0.0168159358430246,2.7563733246389
"LOC100287690",0.596529881866262,2.71689601230612,6.58722694440401,2.97220692333748e-05,0.0168159358430246,2.74260354678004
"LOC100287510",-0.808123393594547,-0.145687367593411,-6.47925322464001,3.46803490623652e-05,0.0184993836455863,2.67360807428328
"ZWINT",3.9562064694724,-2.66270974720518,6.52727457738523,3.23742781788675e-05,0.0176446853961388,2.58074781343705
"HIST2H3A",2.98510905389665,-0.318055498819144,6.40939974944129,3.8352338434283e-05,0.0200319057684564,2.53073592970184
"LOC100287890",0.882441865430148,2.56430932948124,6.33128961372104,4.29540413073242e-05,0.0211157013650181,2.38613106516804
"CIT",2.57648080717881,-1.05506099839844,6.35531963165058,4.14787993919115e-05,0.0207982995910923,2.37482087914911
"HIST1H1C",1.74543174228992,2.73815953596039,6.22160834928927,5.04327864728824e-05,0.0243153921088776,2.22194899025005
"LOC100287210",-2.29314938932164,-6.65675337945131,-6.36177459754098,4.1091771290347e-05,0.0207982995910923,2.18628152560797
"HIST1H3I",2.1614605886372,-0.821002263266496,6.13683364122896,5.71584811003181e-05,0.0260549141757468,2.16724258855821
"LOC100130218",0.679418624303038,3.38290558216921,6.18524843239595,5.32082483289135e-05,0.0251695093180036,2.11385162217924
"HIST1H3A",2.78484496232203,-1.00993817313664,6.14786141347782,5.62320795029669e-05,0.0260549141757468,2.11334974914811
"HIST1H2BO",2.85725169376248,-0.11444967445718,6.03210995597868,6.68088974750398e-05,0.0280754339480083,2.01527529756454
"AURKB",3.6533783743186,-3.19101518932216,6.08732735886205,6.15216796141804e-05,0.0275430362429842,1.99866561052037
"TOP2A",2.82957687066144,-1.0643415538545,6.02830857271333,6.71902212468787e-05,0.0280754339480083,1.95089183618053
"HIST1H3H",2.20204941233236,0.447899593552835,5.95775703616272,7.47030780686962e-05,0.0288135518501582,1.94244445622698
"TNS4",-4.78475923440267,-2.87956617004295,-6.04953021111419,6.50905987930286e-05,0.0280754339480083,1.8760512001736
"VSIG2",2.23532976406914,-2.45010087129507,5.98615903853986,7.15766099237764e-05,0.0288135518501582,1.74748913648858
"ANKRD55",3.45829081562201,-3.2558973522275,5.89704843303045,8.1882131981951e-05,0.030660563071385,1.74723324658225
