"","prot"
"1","ABCE1"
"2","ABCG1"
"3","ABLIM3"
"4","ACAT1"
"5","ACE"
"6","ACKR3"
"7","ACSL1"
"8","ACSL4"
"9","ACTA2"
"10","ACTG2"
"11","ACTN3"
"12","ACVRL1"
"13","ADAMTS9"
"14","ADCY3"
"15","ADPRM"
"16","AGER"
"17","AKR1C2"
"18","AMBP"
"19","ANAPC15"
"20","ANKLE2"
"21","ANKRD37"
"22","ANKZF1"
"23","ANLN"
"24","ANP32A"
"25","ANP32E"
"26","AP4M1"
"27","ARC"
"28","ARF6"
"29","ARFGAP1"
"30","ARFGAP3"
"31","ARHGAP11A"
"32","ARHGEF4"
"33","ARHGEF6"
"34","ARL17A"
"35","ARRB1"
"36","ARRB2"
"37","ARRDC3"
"38","ASF1B"
"39","ASPM"
"40","ATAD5"
"41","ATG7"
"42","ATP6V0A4"
"43","ATP6V1A"
"44","ATP6V1B1"
"45","AUH"
"46","AURKA"
"47","AURKB"
"48","B3GNT2"
"49","B3GNT4"
"50","B4GALT1"
"51","BACH1"
"52","BATF3"
"53","BBC3"
"54","BCL2"
"55","BIRC5"
"56","BMF"
"57","BMP2"
"58","BMP7"
"59","BOP1"
"60","BRCA1"
"61","BUB1B"
"62","C19orf33"
"63","C1QBP"
"64","CALD1"
"65","CARMIL2"
"66","CBX5"
"67","CCDC39"
"68","CCL22"
"69","CCNB1IP1"
"70","CCNF"
"71","CCNH"
"72","CD27"
"73","CD274"
"74","CD2AP"
"75","CD55"
"76","CDAN1"
"77","CDC123"
"78","CDC20"
"79","CDC25B"
"80","CDC26"
"81","CDC42EP4"
"82","CDCA2"
"83","CDCA7"
"84","CDKN1B"
"85","CDKN2C"
"86","CDT1"
"87","CEACAM5"
"88","CENPF"
"89","CENPH"
"90","CENPM"
"91","CENPS"
"92","CENPU"
"93","CENPW"
"94","CEP44"
"95","CEP83"
"96","CERS5"
"97","CFAP53"
"98","CFB"
"99","CHAF1A"
"100","CHAF1B"
"101","CHCHD7"
"102","CHRDL2"
"103","CHRNE"
"104","CHSY3"
"105","CHTF18"
"106","CIT"
"107","CKAP2"
"108","CKM"
"109","CKMT2"
"110","CLCC1"
"111","CLCN1"
"112","CLDN10"
"113","CLDN4"
"114","CLSPN"
"115","CNN1"
"116","COA5"
"117","COL18A1"
"118","COL4A1"
"119","COL5A1"
"120","COLQ"
"121","COPS5"
"122","COX11"
"123","CPEB4"
"124","CREB5"
"125","CSE1L"
"126","CSF2RB"
"127","CSGALNACT1"
"128","CSNK1D"
"129","CTCFL"
"130","CTRB1"
"131","CTRB2"
"132","CTSH"
"133","CTSK"
"134","CTSS"
"135","CUBN"
"136","CWC25"
"137","CX3CL1"
"138","CXCL14"
"139","CXCL3"
"140","CXCR2"
"141","CYP11B1"
"142","CYP27B1"
"143","CYP2A6"
"144","CYP2A7"
"145","DBF4B"
"146","DBP"
"147","DCLRE1C"
"148","DCPS"
"149","DDB2"
"150","DDX21"
"151","DEK"
"152","DEPTOR"
"153","DERL1"
"154","DHRS11"
"155","DIDO1"
"156","DKK1"
"157","DLG3"
"158","DLGAP2"
"159","DLGAP3"
"160","DNAAF2"
"161","DNAJB5"
"162","DNMT1"
"163","DOCK4"
"164","DPYD"
"165","DUSP10"
"166","DUSP16"
"167","DUSP5"
"168","DYNC2H1"
"169","E2F1"
"170","EDA2R"
"171","EEA1"
"172","EED"
"173","EFNA5"
"174","EGR1"
"175","EHD1"
"176","EHMT2"
"177","EIF4E"
"178","EIF4EBP3"
"179","ELL2"
"180","ELN"
"181","ELP2"
"182","EMG1"
"183","ENC1"
"184","EPB41"
"185","EPB42"
"186","ERBB4"
"187","ESR2"
"188","ESRRA"
"189","F10"
"190","F12"
"191","F3"
"192","FAAP100"
"193","FAM166B"
"194","FAN1"
"195","FANCE"
"196","FANCL"
"197","FASTKD3"
"198","FBF1"
"199","FBN1"
"200","FBXL14"
"201","FBXO22"
"202","FBXO45"
"203","FEM1B"
"204","FERMT1"
"205","FERMT2"
"206","FGF2"
"207","FGFR1"
"208","FLG"
"209","FLT4"
"210","FOSB"
"211","FOXC2"
"212","FOXM1"
"213","FOXO3"
"214","FOXP3"
"215","FOXRED1"
"216","FST"
"217","FTCD"
"218","FUT2"
"219","FUT5"
"220","FUT8"
"221","FZD4"
"222","GAB1"
"223","GABARAPL1"
"224","GABBR2"
"225","GALNT1"
"226","GCC1"
"227","GEMIN4"
"228","GHDC"
"229","GINS3"
"230","GLA"
"231","GLDC"
"232","GMNN"
"233","GNAO1"
"234","GNB3"
"235","GNG13"
"236","GOPC"
"237","GPAT3"
"238","GPATCH4"
"239","GPR39"
"240","GSTA4"
"241","GTSE1"
"242","GUCY2D"
"243","H1-1"
"244","H1-2"
"245","H1-3"
"246","H1-4"
"247","H1-5"
"248","H2AC12"
"249","H2AC13"
"250","H2AC14"
"251","H2AC18"
"252","H2AC20"
"253","H2AC21"
"254","H2AC6"
"255","H2AC7"
"256","H2AC8"
"257","H2AX"
"258","H2AZ2"
"259","H2BC11"
"260","H2BC12"
"261","H2BC13"
"262","H2BC14"
"263","H2BC15"
"264","H2BC17"
"265","H2BC18"
"266","H2BC21"
"267","H2BC3"
"268","H2BC5"
"269","H2BC9"
"270","H3-4"
"271","H3C13"
"272","H3C3"
"273","H4C6"
"274","HABP4"
"275","HAND2"
"276","HELLS"
"277","HIF1A"
"278","HIF3A"
"279","HIRIP3"
"280","HJURP"
"281","HLA-DMA"
"282","HMG20A"
"283","HMGA1"
"284","HMGB1"
"285","HMGB2"
"286","HMGCS1"
"287","HMGN2"
"288","HMGXB4"
"289","HNF1B"
"290","HRK"
"291","HSDL1"
"292","HSF4"
"293","HSPA2"
"294","HSPA4L"
"295","HSPB7"
"296","HSPB8"
"297","IFI16"
"298","IFT22"
"299","IKBKE"
"300","IL11"
"301","IL1R1"
"302","IL33"
