#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCE1	YAE1	9606.ENSP00000296577	9606.ENSP00000223273	0	0	0	0	0.080	0.725	0	0.686	0.913
ABCE1	WDR36	9606.ENSP00000296577	9606.ENSP00000423067	0	0	0	0	0.857	0	0	0	0.857
ABCG1	NR1H3	9606.ENSP00000354995	9606.ENSP00000477707	0	0	0	0	0.082	0.053	0.500	0.862	0.932
ABLIM3	RAC2	9606.ENSP00000425394	9606.ENSP00000249071	0	0	0	0	0.047	0	0.900	0.119	0.908
ACAT1	AUH	9606.ENSP00000265838	9606.ENSP00000364883	0.054	0	0	0	0.371	0.330	0.216	0.239	0.719
ACAT1	NPAT	9606.ENSP00000265838	9606.ENSP00000278612	0	0	0	0	0.064	0.069	0	0.809	0.819
ACAT1	HMGCS1	9606.ENSP00000265838	9606.ENSP00000322706	0.079	0	0	0	0.527	0.480	0.939	0.845	0.997
ACE	GNB3	9606.ENSP00000290866	9606.ENSP00000229264	0	0	0	0	0	0	0	0.779	0.779
ACE	IL6	9606.ENSP00000290866	9606.ENSP00000385675	0	0	0	0	0	0	0	0.776	0.776
ACE	NPPB	9606.ENSP00000290866	9606.ENSP00000365651	0	0	0	0	0	0	0	0.810	0.810
ACE	MTHFR	9606.ENSP00000290866	9606.ENSP00000365770	0	0	0	0	0	0	0	0.818	0.818
ACE	MME	9606.ENSP00000290866	9606.ENSP00000418525	0	0	0	0	0	0	0	0.882	0.882
ACKR3	CXCR2	9606.ENSP00000272928	9606.ENSP00000319635	0	0	0	0.791	0	0	0.500	0.433	0.704
ACKR3	ARRB1	9606.ENSP00000272928	9606.ENSP00000409581	0	0	0	0	0	0.491	0	0.780	0.883
ACKR3	ARRB2	9606.ENSP00000272928	9606.ENSP00000403701	0	0	0	0	0	0.797	0	0.848	0.967
ACSL1	SLC27A1	9606.ENSP00000422607	9606.ENSP00000252595	0.053	0	0	0	0.060	0	0.216	0.806	0.847
ACSL1	ACSL4	9606.ENSP00000422607	9606.ENSP00000339787	0	0	0.143	0.775	0.082	0.066	0.600	0.340	0.770
ACTA2	MYLPF	9606.ENSP00000224784	9606.ENSP00000325239	0	0	0	0	0.086	0.287	0.500	0.245	0.721
ACTA2	FBN1	9606.ENSP00000224784	9606.ENSP00000325527	0	0	0	0	0.114	0.103	0	0.677	0.721
ACTA2	SMAD3	9606.ENSP00000224784	9606.ENSP00000332973	0	0	0	0	0.074	0.089	0	0.709	0.733
ACTA2	CALD1	9606.ENSP00000224784	9606.ENSP00000354826	0	0	0	0	0.138	0.092	0.500	0.433	0.748
ACTA2	CNN1	9606.ENSP00000224784	9606.ENSP00000252456	0	0	0	0	0.291	0.114	0	0.842	0.892
ACTA2	MYH10	9606.ENSP00000224784	9606.ENSP00000353590	0	0	0	0	0.105	0.384	0.900	0.347	0.959
ACTA2	ACTG2	9606.ENSP00000224784	9606.ENSP00000386857	0	0	0.047	0.987	0.456	0.800	0.900	0.051	0.988
ACTG2	CNN1	9606.ENSP00000386857	9606.ENSP00000252456	0	0	0	0	0.793	0.114	0	0.652	0.930
ACTG2	MYH10	9606.ENSP00000386857	9606.ENSP00000353590	0	0	0	0	0.098	0.238	0.900	0.242	0.941
ACTG2	CALD1	9606.ENSP00000386857	9606.ENSP00000354826	0	0	0	0	0.190	0.092	0.500	0.361	0.733
ACTN3	MYLPF	9606.ENSP00000422007	9606.ENSP00000325239	0	0	0	0	0.574	0.052	0	0.508	0.784
ACVRL1	BMP2	9606.ENSP00000373574	9606.ENSP00000368104	0	0	0	0	0.086	0.457	0.540	0.678	0.916
ADAMTS9	CDC123	9606.ENSP00000418735	9606.ENSP00000281141	0	0	0	0	0	0	0	0.720	0.720
ADCY3	GNB3	9606.ENSP00000384484	9606.ENSP00000229264	0	0	0	0	0	0.065	0.650	0.168	0.704
ADCY3	GNG13	9606.ENSP00000384484	9606.ENSP00000248150	0	0	0	0	0	0	0.900	0.403	0.937
ADCY3	PDE3B	9606.ENSP00000384484	9606.ENSP00000282096	0	0	0	0	0.057	0.126	0.670	0.328	0.793
ADPRM	GPAT3	9606.ENSP00000369099	9606.ENSP00000264409	0	0	0	0	0	0	0.900	0.056	0.901
AGER	HMGB1	9606.ENSP00000364210	9606.ENSP00000345347	0	0	0	0	0	0.603	0.500	0.999	0.999
AKR1C2	CYP2A6	9606.ENSP00000370129	9606.ENSP00000301141	0	0	0	0	0.070	0.045	0.900	0.165	0.915
AMBP	CUBN	9606.ENSP00000265132	9606.ENSP00000367064	0	0	0	0	0	0	0	0.704	0.704
ANAPC15	BUB1B	9606.ENSP00000437360	9606.ENSP00000287598	0	0	0	0	0.056	0.837	0.720	0.559	0.978
ANAPC15	UBE2C	9606.ENSP00000437360	9606.ENSP00000348838	0	0	0	0	0.072	0.819	0.900	0.615	0.992
ANAPC15	CDC20	9606.ENSP00000437360	9606.ENSP00000361540	0	0	0	0	0.063	0.891	0.540	0.744	0.986
ANAPC15	CDC26	9606.ENSP00000437360	9606.ENSP00000363322	0	0	0	0	0.049	0.947	0.900	0.852	0.999
ANAPC15	PTTG1	9606.ENSP00000437360	9606.ENSP00000377536	0	0	0	0	0.067	0	0.500	0.507	0.749
ANAPC15	BRCA1	9606.ENSP00000437360	9606.ENSP00000418960	0	0	0	0	0	0	0.900	0	0.900
